compound_id,molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,logS,dose_mg,particle_size_um,ph_stability,formulation_type,bioavailability_percent
CMPD-0339,425.42,2.51,10,2,4,3,1,-3.91,400,68.29,5.12,capsule,44.33
CMPD-0340,317.99,1.31,63.89,3,4,7,1,-1.83,100,29.6,6.13,capsule,69.38
CMPD-0341,289.56,3.76,107.94,2,4,6,1,-3.89,5,15.38,6.95,tablet,51.8
CMPD-0342,406.81,3.26,81.72,3,5,7,3,-3.46,25,25.67,9,solution,59.97
CMPD-0343,406.95,3.39,143.19,2,1,7,3,-2.91,5,43.56,5.33,tablet,52.48
CMPD-0344,324.24,1.55,110.88,3,6,5,0,-4.94,400,41.21,6.36,capsule,41.36
CMPD-0345,328.19,-1.38,52.11,0,2,5,0,-5.54,25,1.95,6.31,tablet,10.69
CMPD-0346,405.53,4.47,75.96,2,2,5,1,-3.08,50,11.34,3.81,capsule,47.9
CMPD-0347,220.71,1.64,73.34,2,5,7,0,-4.61,5,4.48,5.79,capsule,47.2
CMPD-0348,225.18,0.95,19.62,3,4,3,1,-5.33,200,17.78,5.07,tablet,49.89
CMPD-0349,300.97,3.75,42.09,2,6,6,2,-2.35,400,12.91,6.02,capsule,54.84
CMPD-0350,356.52,1.79,55.37,0,7,6,0,-1.22,100,61.81,8.3,capsule,63.14
CMPD-0351,414.2,4.41,10,1,3,3,1,-2.21,100,17.36,7.29,capsule,54.84
CMPD-0352,542.29,3.61,76.66,4,0,8,1,-5.28,100,4.2,6.71,capsule,33.28
CMPD-0353,474.34,3.73,66.28,2,5,7,3,-3.23,400,30.32,8.84,solution,47.96
CMPD-0354,362.41,0.04,16.45,2,10,3,2,-3.96,25,18.81,8.19,capsule,43.55
CMPD-0355,377.91,4.68,89.15,1,9,4,4,-4.78,25,26.05,5.54,suspension,39.37
CMPD-0356,269.72,2.97,100.06,2,5,2,2,-3.37,5,27.65,4.31,capsule,60.99
CMPD-0357,377.96,1.84,82.95,1,5,4,0,-3.6,200,25.04,3.71,tablet,54.49
CMPD-0358,348.25,2.76,63.66,2,3,3,5,-3.85,10,7.13,5.44,tablet,52.38
CMPD-0359,415.5,-0.7,95.7,1,2,5,3,-2.02,400,46.55,5.82,tablet,13.98
CMPD-0360,289,3.24,98.81,2,5,6,0,-1.55,25,10.65,8.36,tablet,62.74
CMPD-0361,437.13,0.65,85.76,1,4,6,3,-3.98,400,37.99,7.94,capsule,35.81
CMPD-0362,548.6,0.07,46.14,3,4,4,1,-3.77,10,12.92,7.6,tablet,35.08
CMPD-0363,368.04,-0.24,84.68,1,3,4,2,-3.87,10,46.3,5.9,capsule,40.34
CMPD-0364,424.19,4.5,116.84,2,2,5,2,-2.73,25,74.95,6.27,tablet,36.69
CMPD-0365,455.92,1.37,54.12,1,3,8,1,-3,5,24.16,6.01,capsule,46.94
CMPD-0366,335.87,5.26,148.43,0,6,5,1,-4.56,200,31.09,9,tablet,16.06
CMPD-0367,404.65,1.54,56.6,1,8,8,2,-3.69,400,9.54,5.75,tablet,44.95
CMPD-0368,381.39,-0.57,76.13,2,2,2,1,-5.75,10,5.82,5.55,capsule,13.56
CMPD-0369,390.74,0.49,51.46,0,2,7,1,-5.86,5,27.28,7.18,suspension,43.31
CMPD-0370,294.97,4.72,82.81,2,2,11,2,-5.27,5,29.75,5.34,capsule,35.42
CMPD-0371,382.7,2.22,14.02,2,4,4,0,-3.88,200,80.47,7.17,capsule,56.18
CMPD-0372,434.78,1.51,55.89,0,3,6,1,-2.58,25,27.86,6.85,tablet,46.13
CMPD-0373,539.63,2.79,36.78,1,4,3,0,-4.67,200,105.07,5.61,tablet,50.91
CMPD-0374,485.52,3.4,79.74,2,5,3,2,-3.69,400,29.24,6.09,suspension,47.71
CMPD-0375,616.85,4.51,109.81,0,6,1,3,-3.17,10,62.49,5.49,capsule,32.38
CMPD-0376,295.59,5.11,97.61,4,5,3,4,-1.2,5,23.59,7.72,capsule,44.06
CMPD-0377,475.96,1.85,10,4,5,6,1,-3.42,10,27.25,6.32,tablet,53.67
CMPD-0378,400.17,0.11,146.47,1,5,3,2,-3.35,400,75.3,6.24,tablet,21.4
CMPD-0379,620.88,1.76,85.33,2,4,2,0,-4.41,400,86.06,7.47,tablet,36.08
CMPD-0380,291.09,2.97,47.82,3,3,6,1,-0.74,5,17.85,7.31,capsule,62.6
CMPD-0381,287.63,0.77,80.5,4,4,4,3,-2.35,25,20.21,6.78,solution,54.37
CMPD-0382,314.07,0.78,81.17,3,7,3,0,-5.17,400,16.28,7.75,solution,47.04
CMPD-0383,146.37,3.12,51.66,1,3,6,1,-1.25,5,16.57,6.31,capsule,61.49
CMPD-0384,322.17,2.41,81.93,3,5,2,3,-2.42,25,21.53,5.43,capsule,61.67
CMPD-0385,296.5,2.56,53.74,1,4,3,0,-3.15,25,4.87,6.68,tablet,56.88
CMPD-0386,396.54,1.13,60.85,1,4,10,0,-2.51,10,15.06,6.46,capsule,59.18
CMPD-0387,417.59,2.09,50.98,1,2,7,0,-1.8,10,69.6,8.22,capsule,54.66
CMPD-0388,586.38,0.84,24.86,3,4,4,2,-4.63,200,46.5,6.18,capsule,49.76
CMPD-0389,484.55,4.1,80.1,0,6,1,2,-4.08,10,15.66,8.41,capsule,49.45
CMPD-0390,316.54,4.36,95.49,3,3,3,3,-3.56,50,13.11,5.04,tablet,41.91
CMPD-0391,281.17,-0.82,93.02,0,4,7,3,-5.36,10,11.43,6.22,solution,20.54
CMPD-0392,434.11,0.83,103.7,2,7,7,1,-2.41,10,19.62,6.12,solution,53.5
CMPD-0393,234.77,-0.19,86.35,0,4,3,1,-3.91,200,23.19,6.11,capsule,41.8
CMPD-0394,581.46,1.33,56.35,0,4,7,1,-4.08,5,36.23,7.86,suspension,49.92
CMPD-0395,509.74,2.35,104.39,0,4,2,2,-4.46,200,23.96,5.94,solution,51.64
CMPD-0396,328.39,-0.11,27.49,1,6,5,0,-3.55,50,18.84,7.69,capsule,47.19
CMPD-0397,191.56,0.84,43.48,1,5,2,2,-3.27,50,23.23,6.4,capsule,55.86
CMPD-0398,528.93,0.69,41.25,3,2,4,3,-2.01,400,34.77,6.38,capsule,40.09
CMPD-0399,367.4,2.87,112.8,1,1,5,1,-1.96,5,21.37,4.89,capsule,72.45
CMPD-0400,516.16,2.62,108,0,5,3,5,-5.2,10,59.62,8.01,solution,54.67
CMPD-0401,204.61,1.2,92.06,3,3,4,2,-2.81,200,29.21,8.34,tablet,51.76
CMPD-0402,314.07,2.82,112.52,2,3,5,2,-1.66,400,35.32,5,tablet,51.8
CMPD-0403,380.58,1.52,44.23,1,6,2,5,-3.83,100,40.03,8.44,capsule,51.82
CMPD-0404,385.17,2.01,87.2,1,3,5,1,-3.75,25,15.36,4.77,tablet,47.12
CMPD-0405,330.49,5.51,70.62,3,2,6,2,-4.1,50,23.84,6.3,tablet,26.55
CMPD-0406,448.51,4.91,104.64,3,3,2,1,-2.69,400,12.83,6.38,suspension,39.35
CMPD-0407,262.56,0.16,70.97,1,2,5,0,-3.07,5,21.52,6.14,tablet,32.54
CMPD-0408,364.34,3.99,61.53,2,7,5,1,-2.03,400,70.62,7.81,tablet,37.88
CMPD-0409,393.23,3.96,93.93,3,3,7,1,-3.67,100,8.8,7.4,tablet,37.67
CMPD-0410,436.59,0.43,105.67,2,5,8,2,-1.61,25,22.81,4.46,tablet,30
CMPD-0411,458.28,3.97,51.61,1,5,7,3,-2.6,100,4.42,8.27,tablet,43.06
CMPD-0412,256.29,5.27,72.86,2,4,4,1,-1.74,10,7.86,8.51,capsule,49.02
CMPD-0413,211.25,0.48,37.95,1,3,7,0,-4.39,5,9.65,7.31,tablet,52.03
CMPD-0414,520.54,0.85,10,2,2,6,1,-1.15,25,6.56,6.08,capsule,51.2
CMPD-0415,416.55,4.33,82.02,4,3,7,2,-4.33,25,8.31,6.76,capsule,41.46
CMPD-0416,297.67,2.99,96.31,1,3,5,1,-4.26,10,10.14,6.16,tablet,47.35
CMPD-0417,550.63,3.49,84.17,0,5,5,4,-4.09,10,31.39,7.67,solution,64.08
CMPD-0418,392.72,3.11,10,1,7,5,3,-4.25,10,1.54,4.35,capsule,52.52
CMPD-0419,509.72,3.2,62.72,4,7,7,1,-0.66,5,26.72,6.98,capsule,41.4
CMPD-0420,387.43,0.11,10,2,7,5,4,-2.72,50,14.65,7.89,suspension,57.25
CMPD-0421,606.68,4.39,122.94,0,5,2,3,-2.76,100,16.67,6.21,tablet,36.67
CMPD-0422,573.09,4.61,36.99,1,4,4,4,-6.34,5,33.79,7.16,solution,49.56
CMPD-0423,352.61,2.09,118.94,0,6,7,2,-1.57,5,17.4,4.39,tablet,61.87
CMPD-0424,486.87,2.42,108.11,3,2,7,2,-5.06,100,27.8,5.36,tablet,41.82
CMPD-0425,450.99,-0.26,43.48,1,4,6,2,-3.55,400,18.61,6.98,capsule,18.85
CMPD-0426,530.55,3.43,35.35,2,4,3,1,-4.56,25,20.74,7.04,tablet,47.6
CMPD-0427,273.86,3.53,87.26,2,3,1,3,-3.14,400,3.39,5.8,capsule,45.24
CMPD-0428,455.47,2.39,45.45,3,2,4,4,-1.2,100,53,6.87,tablet,57.36
CMPD-0429,496.43,4.52,78.59,2,3,9,1,-4.94,10,8.93,6.43,capsule,34.08
CMPD-0430,186.54,1.9,58.1,1,7,5,3,-4.58,25,6.83,4.3,solution,67.1
CMPD-0431,249.84,3.52,12.66,4,1,4,3,-3.29,400,132.07,6.22,tablet,45.81
CMPD-0432,155.68,0.66,10,2,0,4,2,-1.15,5,17.41,7.37,tablet,74.11
CMPD-0433,350.37,2.46,82.93,2,5,7,1,-4.14,100,30.02,8.09,capsule,40.45
CMPD-0434,458.93,2.19,55.35,1,4,4,0,-4.57,5,19.87,6.21,tablet,45.97
CMPD-0435,545.26,2.91,55.64,4,6,6,0,-3.25,400,24.89,6.96,tablet,43.72
CMPD-0436,388.15,1.83,99.36,1,2,2,1,-3.49,200,39.71,6.71,capsule,40.09
CMPD-0437,559.15,2.26,116.07,3,3,7,0,-5.04,5,35.25,7.14,tablet,30.98
CMPD-0438,228.19,3.99,65.46,2,4,3,5,-4.11,100,45.9,5.72,tablet,49.97
CMPD-0439,192.63,1.71,63.08,1,1,3,0,-6.45,200,26.68,6.41,suspension,57.16
CMPD-0440,373.89,-0.39,92.51,1,1,6,2,-3.55,200,37.2,7.15,tablet,22.41
CMPD-0441,422.25,5.65,27.51,0,4,4,2,-5.37,200,24.94,6.98,solution,26.69
CMPD-0442,376.4,4.99,82.81,1,3,7,1,0,5,12.84,7.23,solution,58.55
CMPD-0443,152.58,0.17,94.32,1,5,6,5,-2.67,50,4.51,7.46,tablet,31.75
CMPD-0444,370.2,3.74,98.81,1,4,8,1,-3.12,50,8.98,6.69,capsule,49.52
CMPD-0445,236.51,1.59,10,3,7,3,5,-2.71,5,64.61,6.86,suspension,58.76
CMPD-0446,453.66,2.97,48.35,2,3,5,2,-4.24,25,24.77,5.82,capsule,61.65
CMPD-0447,420.33,3.03,44.26,3,1,6,1,-3.71,25,19.21,7.53,solution,63.86
CMPD-0448,276.61,2.08,78.5,0,6,3,2,-2.74,25,29.67,5.2,capsule,60.32
CMPD-0449,323.47,1.09,91.83,1,1,4,2,-4.96,25,38.98,7.24,capsule,52.44
CMPD-0450,263.49,1.26,127.38,1,2,8,2,-2.48,50,57.52,6.66,tablet,52.36
CMPD-0451,373.11,0.85,57.68,5,1,4,2,-0.34,400,5.01,5.64,solution,54.69
CMPD-0452,485.07,1,57.58,5,4,4,1,-5.72,25,95.96,5.69,capsule,35.39
CMPD-0453,271.57,2.38,115.24,3,2,4,2,-2.7,100,66.93,6.76,tablet,59.52
CMPD-0454,435.45,1.21,85.38,3,5,4,1,-4.73,25,2.34,6.2,tablet,39.78
CMPD-0455,321.67,3.73,119.37,2,3,8,3,-2.46,100,7.9,5.98,tablet,51.37
CMPD-0456,292.78,5.18,85.11,2,4,7,3,-2.99,50,38.1,7,capsule,46.74
CMPD-0457,368.23,1.46,34.5,2,6,7,2,-0.68,100,13.08,4.49,tablet,59.42
CMPD-0458,266.12,2.93,28.34,0,3,5,2,-0.95,200,22.16,6.61,solution,76
CMPD-0459,319.1,3.4,20.7,2,2,7,4,-5.67,100,9.62,6.05,capsule,44.6
CMPD-0460,248.23,3.35,98.17,1,3,4,3,-2.35,5,19.41,5.03,tablet,52.44
CMPD-0461,596.12,2.64,116.6,2,4,7,1,-2.38,100,10.18,6.09,capsule,47.84
CMPD-0462,383.88,3.84,139.73,2,3,2,0,-1.72,200,22.36,4.92,suspension,48.43
CMPD-0463,303.03,3.37,104.51,4,4,2,1,-2.79,5,22.2,7.92,tablet,56.25
CMPD-0464,403.54,0.27,115.7,4,4,5,1,-2.61,200,43.28,7.36,tablet,30.55
CMPD-0465,367.64,4.06,54.7,2,3,5,4,-5.05,25,27.32,7.49,tablet,60.52
CMPD-0466,355.69,4.1,34.53,2,2,8,1,-2.87,100,3.19,7.11,capsule,53.88
CMPD-0467,447.56,1.13,104.75,4,5,6,5,-3.82,400,8.99,3.93,capsule,25.72
CMPD-0468,463.33,2.57,89.62,2,6,5,1,-2.47,100,3.13,5.09,capsule,53.35
CMPD-0469,321.64,3.73,78.76,4,5,8,0,-3.64,10,12.51,7.57,suspension,46.36
CMPD-0470,316.66,2.12,88.56,0,4,5,1,-2.83,25,9.85,8.87,tablet,62.68
CMPD-0471,349.74,4.43,86.31,0,2,7,0,-2.58,100,59.88,6.95,solution,54.7
CMPD-0472,126.79,6.75,119.93,2,4,4,5,-2.55,100,9.22,8.17,tablet,4.24
CMPD-0473,213.33,1.09,120.32,2,5,7,1,-4.62,10,20.48,5.52,tablet,57.75
CMPD-0474,530.36,0.01,94.05,3,1,6,5,0,5,75.64,5.75,tablet,36.11
CMPD-0475,560.95,3.05,104.6,3,5,5,1,-3.12,25,45.99,7.3,solution,55.67
CMPD-0476,352.61,3.8,92.99,4,1,3,0,-2.55,10,30.21,5.54,tablet,57.14
CMPD-0477,443.42,2.08,58.86,1,1,5,2,-3.41,25,13.65,4.56,tablet,56.22
CMPD-0478,414.24,5.12,101.48,2,3,5,3,-5.16,25,21.07,7.4,capsule,16.93
CMPD-0479,718.68,0.09,26.19,1,4,4,3,-2.33,5,22.94,5.64,capsule,39.47
CMPD-0480,503.15,3.75,111.89,1,6,1,2,-3.1,5,87.88,4.18,tablet,29.54
CMPD-0481,365.93,1.41,33.19,5,1,6,2,-2.17,50,23.19,7.89,suspension,67.04
CMPD-0482,274.89,5.59,85,1,3,6,0,-4.5,10,27.87,7.11,tablet,17.38
CMPD-0483,203.29,6.09,45.42,3,3,7,0,-4,200,19.33,7.34,capsule,27.58
CMPD-0484,402.38,1.12,94.37,1,5,8,1,-3.1,10,11.03,7.41,tablet,47.48
CMPD-0485,296.8,1.51,73.81,0,8,7,2,-3.43,400,4.79,7.66,capsule,56.61
CMPD-0486,223.55,4.05,19.18,1,1,1,3,-3.93,25,32.86,7.1,suspension,62.53
CMPD-0487,308.88,1.8,89.72,0,4,5,3,-3.1,50,56.41,4.71,tablet,60.18
CMPD-0488,261.03,2.42,54.77,1,1,4,2,-1.36,50,26.49,5.2,suspension,57.86
CMPD-0489,565.59,2.55,105.84,3,2,8,0,-2.81,400,84.2,7.71,solution,44.06
CMPD-0490,476.98,-0.96,75.05,2,1,3,3,-1.74,25,56.42,7.19,solution,32.33
CMPD-0491,379.12,2.48,88.84,1,3,1,1,-3.75,5,22.72,6.34,tablet,56.73
CMPD-0492,542.79,1.26,41.49,3,3,2,2,-3.42,50,6.18,4.48,suspension,46.46
CMPD-0493,388.51,1.61,54.37,3,6,3,0,-3.14,10,13.55,5.49,solution,60.94
CMPD-0494,285.26,5.1,58.95,0,2,7,1,-4.17,5,15.56,6.13,capsule,37.8
CMPD-0495,547.54,0.24,104.98,2,4,4,0,-3.12,100,13.79,5.59,tablet,45.14
CMPD-0496,439.28,3.96,133.71,1,5,7,3,-1.15,50,18.13,5.24,tablet,55.78
CMPD-0497,265.9,2,46.82,2,5,11,2,-0.88,25,20.86,6.9,solution,79.19
CMPD-0498,359.06,2,112.69,0,7,3,5,-1.44,10,40.31,8.26,tablet,69.06
CMPD-0499,283.68,3.92,10,3,7,7,1,-3.04,400,28.26,7.27,tablet,51.3
CMPD-0500,227.89,3.11,33.2,2,7,5,0,-4.58,50,28.48,5.93,tablet,46.16
CMPD-0501,481.88,3.53,41.44,4,4,9,4,0,25,24.25,6.42,tablet,54.02
CMPD-0502,590.04,4.24,27.66,1,0,5,1,-4.27,10,33.85,7.24,capsule,45.07
CMPD-0503,226.16,1.9,19.57,4,1,7,4,-1.21,50,4.69,5.78,solution,73.01
CMPD-0504,441.93,1.4,89.45,1,3,4,4,-2.95,10,54.52,6.76,tablet,42.63
CMPD-0505,308.43,0.55,67.51,1,2,3,3,-5.05,100,90.49,6.07,solution,50.03
CMPD-0506,326.42,1.01,88.28,0,4,5,1,-5.72,400,8.55,6.05,capsule,35.27
CMPD-0507,314.84,7.81,99.17,4,7,4,0,-1.41,400,34.03,4.6,solution,1
CMPD-0508,284.96,4.74,84.3,4,7,8,0,-4.36,400,13.21,6.55,capsule,34.94
CMPD-0509,385.34,0.07,98.02,2,7,4,1,-5.39,10,37.42,6.99,tablet,25.61
CMPD-0510,288.6,0.12,72.57,2,2,3,2,-3.9,400,39.49,7.51,suspension,39.84
CMPD-0511,409.75,3.37,33.46,2,5,5,4,-3.51,400,8.45,4.41,capsule,59.66
CMPD-0512,374.47,3.49,112.02,2,9,2,1,-2.94,25,39.91,7.64,tablet,38.9
CMPD-0513,353.72,3.49,54.38,4,1,6,3,-3.02,50,20.5,7.37,capsule,50.88
CMPD-0514,280.17,2.04,42.25,0,1,6,4,-4.6,25,62.8,8.27,capsule,59.71
CMPD-0515,316.56,2.27,68.77,4,1,3,2,-3.5,100,31.11,6.06,solution,50.53
CMPD-0516,463.09,3.09,43.05,1,2,4,1,-0.92,200,25.92,6.58,tablet,61.36
CMPD-0517,435.1,2.65,60.39,1,1,5,2,-5.08,5,53.91,5.27,capsule,47.02
CMPD-0518,272.47,-1.49,87.04,2,6,7,1,-2.79,10,23.64,6.43,tablet,22.57
CMPD-0519,390.93,2.09,87.19,3,2,6,1,-5.08,25,33.51,6.12,tablet,44.75
CMPD-0520,462.65,0.97,43.58,2,6,3,1,-4.12,200,13.28,6.68,tablet,37.19
CMPD-0521,196.37,2.82,57.93,7,9,6,0,-1.8,50,75.36,6.45,tablet,44.22
CMPD-0522,439.77,7.87,112.6,5,4,3,2,-6.55,50,9.07,7.47,tablet,1
CMPD-0523,307.11,3.16,92.37,2,1,6,1,-0.35,5,20.57,6.26,tablet,75.23
CMPD-0524,442.77,1.94,147.63,3,4,2,0,-5.44,50,11.89,8.03,capsule,41.26
CMPD-0525,296.04,4.16,116.3,2,2,3,2,-6.51,400,3.74,3.54,tablet,32.01
CMPD-0526,181.46,3.37,115.05,2,7,4,4,-3.47,100,12.7,8.05,tablet,54.97
CMPD-0527,200.97,3.26,26.42,2,5,11,4,-4.14,5,53.65,4.85,tablet,52.34
CMPD-0528,385.29,3.59,101.74,2,7,5,1,-4.43,100,30.3,7.49,tablet,42.41
CMPD-0529,408.57,6.2,73.14,2,5,4,1,-2.54,10,44.83,7.31,suspension,10.92
CMPD-0530,280.53,0.46,55.72,1,5,3,1,-4.89,100,60.23,5.21,tablet,35.91
CMPD-0531,450.25,3.35,80.88,0,7,2,3,-2.65,10,36.41,7.97,tablet,53.85
CMPD-0532,197.23,0.83,108.08,5,3,7,4,-2.26,100,23,5.08,tablet,47.21
CMPD-0533,372.73,3.5,92.53,5,3,4,2,-5.56,5,21.89,4.92,suspension,33.97
CMPD-0534,246.79,0.85,44.25,1,6,1,3,-1.96,10,12.15,5.96,tablet,57.12
CMPD-0535,308.3,1.75,100.99,2,3,0,4,-2.34,200,48.6,6.02,tablet,64.58
CMPD-0536,385.21,1.97,52.68,0,6,6,3,-1.17,100,36.05,5.77,suspension,56.47
CMPD-0537,285.35,4.26,82.58,1,4,5,5,-3.49,100,51.48,6.58,capsule,51.79
CMPD-0538,337.7,4.15,64.38,2,6,5,4,-4.75,50,32.4,6.94,capsule,35.25
CMPD-0539,490.69,0.26,67.34,0,5,9,2,-1.62,400,28.24,6.4,suspension,38.25
CMPD-0540,316.54,2.6,101.82,2,7,1,2,-3.43,100,54.68,5.1,capsule,40.47
CMPD-0541,471.93,1.22,38.59,4,5,2,1,-0.77,50,37.13,5.48,tablet,55.36
CMPD-0542,255.73,0.23,143.08,3,4,5,2,-2.44,100,10.7,9,tablet,32.06
CMPD-0543,438.28,2.11,11.26,3,7,4,1,-3.54,25,34.81,5.24,capsule,40.15
CMPD-0544,538.57,1.94,54.08,5,3,5,0,-4.82,50,23.53,5.28,tablet,40.8
CMPD-0545,120,6.87,87.96,3,2,8,0,-3.66,5,21.84,4.64,capsule,1.72
CMPD-0546,292.34,3.28,95.45,6,4,7,3,-2.09,5,43.02,7.66,capsule,53.24
CMPD-0547,443.48,0.02,71.48,1,6,5,1,-5.76,10,69.85,7.65,capsule,27.21
CMPD-0548,357.67,1.48,72.99,4,5,6,4,-4.11,200,28.85,6.98,tablet,48.9
CMPD-0549,420.83,4.34,89.37,0,2,4,5,-5.92,200,14.34,8.04,solution,40.03
CMPD-0550,313.56,6.26,66.91,2,1,4,1,-5.06,5,95.64,5.63,suspension,11.17
CMPD-0551,389.52,-0.35,123.76,4,3,5,1,-4.42,10,58.77,5.11,tablet,31.14
CMPD-0552,362.88,-0.88,104.38,2,8,5,3,-3.91,5,16.04,6.83,tablet,16.09
CMPD-0553,508.46,5.87,105.55,3,7,3,3,-2.97,50,23.35,7.07,capsule,9.16
CMPD-0554,407.99,3.2,41.18,0,3,6,3,-2.45,25,8.36,6.73,tablet,62.91
CMPD-0555,417.14,0.94,72.22,0,4,8,2,-1.42,10,16.74,6.13,capsule,52.08
CMPD-0556,334.69,3.46,64.48,2,3,3,3,-1.1,25,31.97,7.73,capsule,62.37
CMPD-0557,326.36,-2,39.8,5,0,6,2,-1.72,100,77.32,6.45,solution,9.84
CMPD-0558,332.42,2.51,87.61,1,4,3,1,-4.07,100,9.62,6.8,tablet,52.33
CMPD-0559,423.39,3.09,56.18,1,5,8,1,-3.15,25,27.87,6.47,capsule,36.55
CMPD-0560,333.69,4.16,97.94,2,5,3,4,-4.34,50,5.26,5.91,tablet,42.34
CMPD-0561,411.88,0.67,37.54,2,3,11,3,-3.12,25,95.97,5.22,tablet,42.2
CMPD-0562,608.29,2.65,135.17,1,2,8,3,-3.74,25,31.06,7.01,tablet,52.99
CMPD-0563,475.82,0.83,43.63,0,4,10,2,-5.21,25,23.17,3.9,tablet,42.92
CMPD-0564,344.14,2.96,82.68,3,7,7,0,-1.32,10,11.04,5.74,tablet,54.46
CMPD-0565,512.13,0.89,102.72,1,0,9,2,-0.94,400,7.57,5.9,tablet,49.83
CMPD-0566,335.11,1.77,55.03,1,8,7,0,-4.64,10,21.59,5.04,capsule,47.51
CMPD-0567,155.81,0.71,104.84,1,3,8,3,-2.72,400,17.59,6.15,capsule,50.91
CMPD-0568,269.11,3.67,31.98,2,6,8,5,-4.57,25,57.15,7.04,tablet,46.41
CMPD-0569,174.21,4.05,125.82,2,2,4,5,-3.62,200,10.43,6.65,solution,59.19
CMPD-0570,341.33,2.08,75.5,2,1,5,1,-4.3,50,39.75,5.81,capsule,63.17
CMPD-0571,382.03,2.57,54.13,0,4,6,2,-4.44,100,34.42,7.24,suspension,71.42
CMPD-0572,564.41,-0.11,64.53,3,5,5,1,-3.21,100,3.15,6.82,capsule,19.81
CMPD-0573,415.96,1.96,103.31,4,0,2,1,-6.22,100,12.57,5.13,capsule,31.28
