compound_id,molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,logS,dose_mg,particle_size_um,ph_stability,formulation_type
NEW-0103,458.35,2.98,101.36,0,0,3,1,-3.83,400,48.97,6.02,tablet
NEW-0104,665.81,1.83,84.96,1,3,4,4,-4.4,400,16.04,4.5,tablet
NEW-0105,377.29,4.61,82.17,4,4,5,0,-4.56,10,16.2,4.88,tablet
NEW-0106,383.76,3.04,78.91,4,8,4,0,-4.71,25,39.25,6.36,tablet
NEW-0107,399.75,6.03,90.83,1,1,7,2,-5.85,25,30.16,7.15,solution
NEW-0108,175.18,0.55,53.53,1,5,7,4,-0.15,10,4.68,5.85,capsule
NEW-0109,426.88,3.24,128.38,2,5,5,2,-3.58,400,33.59,5.23,tablet
NEW-0110,203.4,2.59,80.33,0,4,2,5,-1.55,50,20.43,4.96,solution
NEW-0111,332.96,3.0,96.0,2,3,2,1,-3.25,50,22.51,7.79,capsule
NEW-0112,516.72,5.37,59.83,2,2,5,3,-7.47,50,12.53,8.79,solution
NEW-0113,299.13,3.55,88.12,2,3,5,4,-2.9,200,36.62,7.28,tablet
NEW-0114,435.14,0.43,10.0,0,3,1,2,-0.42,25,10.17,5.78,tablet
NEW-0115,491.4,3.46,35.86,1,3,4,2,-3.51,100,17.86,4.82,solution
NEW-0116,410.66,1.75,73.9,3,8,1,0,-4.26,25,39.12,5.93,tablet
NEW-0117,229.2,1.65,28.71,0,3,3,1,-4.19,50,27.64,7.2,tablet
NEW-0118,343.43,4.38,160.38,1,1,0,1,-3.87,25,30.91,7.66,tablet
NEW-0119,595.54,1.42,16.62,6,1,6,2,-1.37,25,3.37,5.01,tablet
NEW-0120,157.24,1.82,87.11,2,3,6,3,-4.27,100,51.39,6.12,suspension
NEW-0121,349.66,2.56,132.95,0,6,5,4,-5.34,400,0.61,5.48,capsule
NEW-0122,319.27,4.2,91.85,4,4,5,0,-2.74,200,40.18,9.0,capsule
NEW-0123,393.28,3.55,64.14,0,6,5,4,-1.12,5,10.65,7.29,tablet
NEW-0124,462.3,2.08,55.67,2,6,3,2,-5.37,100,12.5,6.76,solution
NEW-0125,556.96,2.01,98.56,3,2,6,2,0.0,100,22.39,5.91,tablet
NEW-0126,350.27,0.41,46.99,1,4,7,2,-4.15,400,13.84,5.2,capsule
NEW-0127,469.36,1.13,70.82,0,3,4,2,-1.28,200,16.49,6.51,tablet
NEW-0128,434.97,1.32,99.19,3,2,5,5,-3.09,5,25.94,6.07,solution
NEW-0129,432.18,2.23,64.22,4,6,8,4,-2.18,400,15.38,6.51,tablet
NEW-0130,317.97,6.08,78.06,1,2,4,4,-2.93,25,37.26,7.62,tablet
NEW-0131,270.29,1.28,64.36,3,1,2,1,-3.69,100,101.5,6.29,capsule
NEW-0132,259.0,1.97,41.06,1,3,4,3,-6.82,200,11.31,4.43,capsule
NEW-0133,296.79,-1.19,116.62,3,3,5,1,-7.86,5,15.54,6.18,capsule
NEW-0134,415.39,3.58,123.76,2,5,5,1,-3.23,25,19.39,7.36,capsule
NEW-0135,463.7,-0.34,63.92,2,5,6,1,-3.84,100,2.79,4.41,capsule
NEW-0136,415.58,0.87,65.7,2,9,8,3,-2.59,5,9.21,4.22,solution
NEW-0137,319.61,4.38,68.77,4,2,6,2,-6.11,5,7.2,8.05,capsule
NEW-0138,578.66,-1.29,93.86,0,11,8,0,-4.57,100,3.67,6.73,solution
NEW-0139,547.08,2.67,43.31,2,7,7,0,-3.81,50,23.09,7.83,tablet
NEW-0140,341.06,3.94,71.9,4,2,10,2,-1.81,25,58.38,5.72,tablet
NEW-0141,289.42,5.25,84.2,4,2,5,3,-2.07,100,27.83,4.8,tablet
NEW-0142,394.32,0.84,97.47,1,5,3,1,-5.66,200,3.43,6.28,solution
NEW-0143,519.4,1.38,10.0,2,9,5,0,-4.95,400,30.44,8.18,capsule
NEW-0144,416.6,5.75,89.12,2,3,9,4,-2.87,5,19.59,4.88,capsule
NEW-0145,441.22,2.45,87.1,2,3,6,1,-3.09,100,40.99,6.18,capsule
NEW-0146,356.67,1.17,110.27,1,6,5,3,-3.1,10,34.62,8.81,capsule
NEW-0147,430.19,1.21,56.58,0,5,5,3,-1.28,50,6.25,6.11,suspension
NEW-0148,549.9,0.75,56.86,1,2,5,2,-2.79,200,58.37,5.79,tablet
NEW-0149,353.64,1.71,117.09,3,2,6,3,-2.32,50,27.49,6.74,tablet
NEW-0150,395.76,4.46,20.29,4,4,13,2,-2.16,100,26.09,7.1,tablet
NEW-0151,407.92,4.1,132.02,3,3,4,3,-4.11,5,16.98,9.0,tablet
NEW-0152,411.21,0.39,164.46,1,3,6,3,-5.58,400,6.63,7.32,tablet
NEW-0153,224.69,2.89,91.71,1,4,5,2,-0.52,10,13.3,7.09,capsule
NEW-0154,173.54,1.78,103.49,2,4,5,0,-3.17,10,7.95,6.16,solution
NEW-0155,267.84,3.91,22.86,0,9,4,1,-4.64,400,13.25,6.12,capsule
NEW-0156,398.47,2.22,50.69,0,4,3,0,-4.79,5,50.23,6.29,suspension
NEW-0157,440.92,3.17,112.03,1,5,2,2,-2.36,50,10.81,7.91,solution
NEW-0158,321.63,2.21,87.66,3,3,11,1,-5.93,400,31.3,7.18,capsule
NEW-0159,531.5,-1.44,68.65,1,4,3,1,-6.49,5,9.18,5.3,solution
NEW-0160,364.25,2.58,83.15,1,1,6,0,-5.03,100,23.85,8.06,solution
NEW-0161,382.23,0.21,92.74,1,4,5,1,-0.1,25,15.5,8.92,tablet
NEW-0162,358.66,3.84,64.74,2,7,8,2,-2.14,50,55.15,8.28,solution
NEW-0163,394.74,1.28,73.99,1,0,5,3,-1.88,25,114.78,7.22,tablet
NEW-0164,457.49,1.41,73.73,1,5,5,3,-3.94,100,27.71,5.86,tablet
NEW-0165,453.22,2.48,38.17,0,6,8,2,-2.84,5,34.34,8.36,tablet
NEW-0166,281.17,3.54,86.33,0,5,6,0,-3.04,50,12.1,5.0,tablet
NEW-0167,547.6,2.19,138.13,3,1,5,2,-3.74,100,60.0,7.2,tablet
NEW-0168,259.55,5.46,135.62,1,2,5,1,-3.58,200,8.9,6.05,tablet
NEW-0169,388.71,5.47,23.33,2,6,4,3,-3.78,5,17.73,4.3,tablet
NEW-0170,349.82,5.59,94.97,0,1,4,2,-4.18,100,44.42,6.89,capsule
NEW-0171,264.61,2.08,98.64,4,2,3,3,-3.48,10,66.8,8.23,solution
NEW-0172,371.74,-0.17,60.63,1,2,8,2,-4.34,10,6.2,6.56,tablet
NEW-0173,298.51,4.7,41.25,5,7,9,1,-3.87,25,106.41,7.09,capsule
NEW-0174,388.02,1.75,28.77,0,0,5,1,-4.28,25,51.0,5.18,suspension
NEW-0175,424.34,2.57,59.44,0,7,5,2,-4.05,10,43.54,6.19,capsule
NEW-0176,541.91,3.63,87.25,1,4,5,4,-2.67,25,13.58,4.52,tablet
NEW-0177,413.81,-0.39,69.47,2,5,4,1,-2.02,100,31.38,6.71,tablet
NEW-0178,312.77,5.43,53.62,2,4,6,3,-3.89,100,94.51,6.94,solution
NEW-0179,336.92,4.07,31.28,3,1,8,4,-2.82,50,16.57,5.15,capsule
NEW-0180,395.4,3.13,87.28,3,3,4,2,-3.1,400,28.81,6.11,tablet
NEW-0181,390.28,4.1,112.33,2,1,7,2,-2.79,200,14.47,7.62,tablet
NEW-0182,540.55,3.5,42.56,1,3,5,2,-3.47,100,23.91,8.32,solution
NEW-0183,533.49,2.71,90.7,1,1,3,0,-3.86,200,26.2,5.07,tablet
NEW-0184,340.52,1.95,10.0,5,4,5,1,-4.06,200,27.12,8.43,suspension
NEW-0185,319.65,1.17,51.99,0,4,5,4,-3.67,100,26.81,7.05,solution
NEW-0186,120.0,3.02,100.54,4,3,3,1,-3.5,100,10.51,8.19,suspension
NEW-0187,319.62,3.15,35.88,1,4,3,3,-5.39,400,26.81,5.53,tablet
NEW-0188,272.41,4.45,53.84,2,2,5,3,-4.61,10,14.83,4.91,solution
NEW-0189,340.97,2.86,124.63,2,5,5,3,-5.87,100,15.17,7.34,tablet
NEW-0190,423.07,0.96,49.35,4,5,4,1,-4.85,200,23.32,6.64,solution
NEW-0191,399.49,-0.34,45.11,2,1,5,0,-3.34,400,5.84,5.19,tablet
NEW-0192,376.7,2.27,95.15,3,4,4,2,-2.83,50,35.36,7.57,tablet
NEW-0193,401.95,2.45,143.42,1,9,6,2,-6.25,25,22.62,6.73,tablet
NEW-0194,366.13,2.32,66.61,1,3,4,1,-2.28,400,46.45,6.22,tablet
NEW-0195,401.67,-0.25,101.91,4,5,9,5,-2.7,25,14.46,4.4,tablet
NEW-0196,120.0,4.43,122.1,1,3,5,2,0.0,400,18.81,7.14,capsule
NEW-0197,350.38,4.43,86.39,0,3,9,2,-1.56,25,23.41,7.17,tablet
NEW-0198,367.81,1.02,65.55,3,4,4,2,-5.77,10,47.24,6.14,solution
NEW-0199,342.46,3.95,44.33,0,4,6,3,-4.29,10,26.01,5.43,solution
NEW-0200,356.03,4.22,25.12,0,3,1,2,0.0,25,31.71,6.61,tablet
NEW-0201,457.36,2.57,113.91,4,2,6,4,-7.04,5,25.91,9.0,capsule
NEW-0202,314.21,0.79,81.33,1,4,1,3,-2.65,25,34.28,8.01,tablet
NEW-0203,622.08,5.4,121.65,4,3,3,3,-1.1,10,40.09,5.79,capsule
NEW-0204,455.71,3.19,109.61,4,4,2,4,-2.2,25,40.87,6.98,tablet
NEW-0205,379.31,2.05,53.41,2,4,4,2,-3.81,5,6.97,6.12,capsule
NEW-0206,357.27,3.89,33.46,1,6,3,1,-2.25,25,47.6,7.16,capsule
NEW-0207,370.48,5.42,89.44,3,4,6,1,-2.71,25,8.09,7.57,solution
NEW-0208,279.32,1.61,52.86,3,3,2,5,-3.88,50,61.97,8.84,tablet
NEW-0209,369.53,3.74,88.18,1,1,4,3,-2.58,5,26.56,6.8,tablet
NEW-0210,410.66,6.0,49.41,3,2,5,1,-3.88,25,54.25,4.08,suspension
NEW-0211,443.75,0.49,44.86,3,8,9,3,-1.68,5,36.06,6.47,capsule
NEW-0212,443.77,1.51,70.07,1,4,1,4,-2.75,10,56.26,5.19,capsule
NEW-0213,349.76,1.42,107.69,3,2,6,3,-4.29,200,64.03,6.42,tablet
NEW-0214,224.23,2.22,85.73,1,0,7,2,-2.23,400,36.82,6.97,tablet
NEW-0215,306.4,2.12,116.24,4,1,6,1,-5.81,200,23.72,7.8,suspension
NEW-0216,557.34,3.04,31.83,0,3,4,2,-4.06,10,73.5,8.41,capsule
NEW-0217,478.57,1.02,38.0,2,2,2,3,0.0,10,28.27,8.04,capsule
NEW-0218,420.66,1.38,71.88,1,4,3,3,-3.25,50,2.93,5.87,capsule
NEW-0219,296.26,3.04,150.8,1,3,2,3,-2.7,200,83.81,5.52,suspension
NEW-0220,380.4,2.78,98.6,3,3,3,3,-3.03,400,7.84,6.62,capsule
NEW-0221,241.88,4.07,37.67,1,2,4,5,-3.96,10,5.87,7.2,tablet
NEW-0222,319.29,3.24,72.34,3,2,3,1,-4.17,5,50.64,8.0,capsule
NEW-0223,353.03,3.89,82.73,1,5,6,1,-4.52,200,9.71,5.99,capsule
NEW-0224,340.22,0.44,55.1,1,8,2,1,-2.36,400,21.15,6.38,capsule
NEW-0225,485.23,1.81,96.46,2,5,7,1,-4.16,200,52.92,6.03,suspension
NEW-0226,223.94,5.83,69.52,0,7,2,1,-2.46,25,13.36,5.32,solution
NEW-0227,284.8,3.21,64.52,3,3,3,4,-1.25,10,51.51,7.32,capsule
NEW-0228,228.78,3.85,119.11,1,4,4,2,-3.32,50,42.71,6.87,capsule
NEW-0229,243.89,2.99,15.16,1,7,2,3,-3.67,10,16.71,7.44,suspension
NEW-0230,393.65,3.27,41.34,2,3,4,1,-3.69,400,25.19,6.72,capsule
NEW-0231,203.95,2.08,46.39,2,4,8,2,-4.21,10,32.52,6.71,tablet
NEW-0232,462.93,8.0,45.33,3,3,5,1,-4.13,10,27.01,7.71,tablet
NEW-0233,352.85,1.79,49.49,3,5,10,1,-2.56,5,6.21,4.26,tablet
NEW-0234,387.57,2.43,92.1,3,4,5,3,-5.01,10,13.87,5.47,suspension
NEW-0235,415.48,-1.86,113.38,3,5,3,5,-2.64,25,26.94,7.07,capsule
NEW-0236,332.24,4.49,107.06,4,3,8,5,-4.82,50,42.09,6.99,capsule
NEW-0237,493.57,1.51,39.32,2,6,5,2,-3.39,400,47.64,6.0,solution
NEW-0238,358.62,2.39,71.24,2,3,3,3,-6.77,100,40.18,5.4,tablet
NEW-0239,445.35,1.55,90.83,2,4,5,1,-2.28,5,23.03,8.2,solution
NEW-0240,358.1,2.25,83.4,1,4,1,2,-0.84,50,10.94,5.39,tablet
NEW-0241,412.0,1.99,120.7,3,2,3,2,-4.36,10,34.73,7.26,capsule
NEW-0242,410.76,2.42,51.36,1,4,1,3,-3.95,200,11.5,4.41,tablet
NEW-0243,407.5,2.4,80.47,3,2,4,0,-2.82,200,38.37,5.97,tablet
NEW-0244,272.83,2.22,61.24,2,2,6,5,-1.07,100,18.22,7.22,capsule
NEW-0245,427.95,2.2,83.79,2,5,2,1,-2.32,200,29.01,4.46,tablet
NEW-0246,344.91,4.86,37.24,2,8,5,4,-5.62,100,38.12,6.91,capsule
NEW-0247,449.35,4.09,42.49,3,4,4,2,-3.52,25,11.81,7.77,suspension
NEW-0248,143.23,4.1,49.45,3,2,6,3,-1.55,5,24.42,7.32,tablet
NEW-0249,218.84,1.18,55.27,5,5,4,3,-1.08,10,4.82,5.41,tablet
NEW-0250,419.98,4.76,129.18,3,5,3,3,-3.12,10,6.62,5.67,tablet
NEW-0251,584.92,4.54,116.14,1,6,6,3,-3.69,50,25.64,7.38,suspension
NEW-0252,471.86,1.5,67.56,1,5,7,2,-3.39,5,13.33,6.9,capsule
NEW-0253,304.93,5.24,81.05,1,5,9,2,-3.15,10,29.37,8.0,solution
NEW-0254,193.87,1.27,19.19,2,2,9,1,-3.12,400,9.55,4.85,capsule
NEW-0255,461.7,-0.82,68.72,5,7,2,4,-4.46,5,33.38,4.86,tablet
NEW-0256,371.14,4.48,80.59,0,9,4,0,-4.45,400,63.2,5.72,capsule
NEW-0257,444.98,2.28,115.1,3,2,4,2,-1.18,100,17.33,5.31,capsule
NEW-0258,392.68,4.26,86.44,0,3,6,2,-5.29,5,9.01,6.05,capsule
NEW-0259,383.26,1.14,90.15,0,4,7,2,-4.55,5,5.06,6.49,tablet
NEW-0260,705.45,0.23,85.42,2,5,6,1,-1.75,100,21.29,4.71,tablet
NEW-0261,379.33,4.72,84.42,0,3,3,1,-4.87,100,44.2,6.07,suspension
NEW-0262,362.48,-0.03,26.11,2,4,6,0,-4.32,400,39.23,6.74,suspension
NEW-0263,366.64,-0.31,60.41,4,4,8,1,-3.47,10,53.65,5.63,tablet
NEW-0264,315.81,-0.97,125.22,3,3,3,2,-5.62,50,35.38,6.24,solution
NEW-0265,488.91,-2.0,103.84,3,1,7,1,0.0,100,38.01,6.99,capsule
NEW-0266,341.09,0.63,92.3,2,9,5,0,-6.01,200,36.72,6.86,tablet
NEW-0267,449.95,-1.4,77.34,1,4,7,1,-1.92,100,41.72,7.43,capsule
NEW-0268,411.31,2.44,98.08,2,5,2,4,-1.15,10,19.72,7.73,capsule
NEW-0269,514.09,-1.53,41.93,2,4,5,0,-4.4,200,31.47,6.9,solution
NEW-0270,426.22,0.53,19.7,0,1,8,0,-3.89,400,31.25,6.06,capsule
NEW-0271,246.53,6.7,61.63,0,4,4,0,-4.72,200,22.39,6.67,tablet
NEW-0272,234.09,3.12,93.83,3,5,5,1,-4.78,10,42.01,7.15,capsule
NEW-0273,534.92,2.6,78.77,0,4,3,1,-2.21,25,22.64,7.79,capsule
NEW-0274,313.04,-0.42,110.49,2,2,5,1,-4.55,5,7.6,8.96,capsule
NEW-0275,234.73,2.06,87.3,7,5,1,2,-6.13,10,2.61,6.83,solution
NEW-0276,306.34,2.59,76.57,3,6,7,2,-3.28,50,67.77,6.54,solution
NEW-0277,519.11,-0.39,121.46,3,2,8,2,-3.22,25,30.85,5.27,tablet
NEW-0278,223.78,2.73,114.63,4,2,6,2,-2.98,25,6.26,4.16,capsule
NEW-0279,284.69,4.64,71.57,1,2,1,2,-6.37,10,23.62,8.81,suspension
NEW-0280,306.65,1.87,36.39,1,4,5,3,0.0,50,36.87,8.71,tablet
NEW-0281,242.37,2.14,43.24,5,2,3,1,-2.2,50,29.03,8.28,tablet
NEW-0282,249.72,-1.18,69.35,3,3,3,1,-4.95,25,7.7,6.97,tablet
NEW-0283,213.01,-0.02,62.16,1,7,8,1,-5.21,10,8.59,7.81,capsule
NEW-0284,329.27,4.4,133.02,4,3,3,1,-3.95,25,11.78,7.47,capsule
NEW-0285,340.96,1.31,16.2,4,2,6,1,-1.56,200,33.5,6.37,suspension
NEW-0286,304.92,0.83,72.75,2,2,11,0,-2.28,200,33.22,5.58,tablet
NEW-0287,198.09,1.25,37.68,2,8,5,1,-4.53,50,6.87,6.22,tablet
NEW-0288,517.87,2.4,79.09,2,7,9,3,-3.19,400,30.85,6.67,capsule
NEW-0289,233.8,0.41,88.38,1,7,4,2,-1.21,100,17.21,4.36,solution
NEW-0290,410.58,2.73,60.83,4,3,6,1,-3.4,100,56.9,7.43,suspension
NEW-0291,261.78,0.05,93.57,1,5,5,5,-5.81,100,55.42,6.59,tablet
NEW-0292,453.51,3.89,68.05,3,1,7,0,-4.45,10,24.37,4.6,tablet
NEW-0293,485.14,0.6,68.72,1,3,4,1,-5.08,50,22.65,7.01,solution
NEW-0294,283.46,4.88,60.37,3,5,6,3,-4.62,5,34.75,6.62,capsule
NEW-0295,168.39,2.48,97.78,1,6,6,1,-3.08,10,24.74,8.46,tablet
NEW-0296,456.54,0.98,79.85,4,2,7,4,-1.89,25,11.48,5.65,tablet
NEW-0297,586.34,4.14,130.06,3,6,2,2,-4.35,200,3.35,3.2,capsule
NEW-0298,425.73,0.03,119.45,1,6,3,1,-2.83,25,22.13,5.5,solution
NEW-0299,397.66,1.52,94.38,0,6,3,1,-2.0,400,23.21,6.98,capsule
NEW-0300,470.17,2.5,10.0,1,3,4,2,-3.72,5,15.16,6.66,solution
NEW-0301,464.16,2.28,23.05,2,5,4,1,-6.15,50,28.18,5.69,tablet
